Context,Response,cleaned_text,tokens,predicted_sentiment
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.",if everyone thinks you re worthless then maybe you need to find new people to hang out with seriously the social context in which a person lives is a big influence in self esteem otherwise you can go round and round trying to understand why you re not worthless then go back to the same crowd and be knocked down again there are many inspirational messages you can find in social media maybe read some of the ones which state that no person is worthless and that everyone has a good purpose to their life also since our culture is so saturated with the belief that if someone doesn t feel good about themselves that this is somehow terrible bad feelings are part of living they are the motivation to remove ourselves from situations and relationships which do us more harm than good bad feelings do feel terrible your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today ,"['everyon', 'think', 'worthless', 'mayb', 'need', 'find', 'new', 'peopl', 'hang', 'serious', 'social', 'context', 'person', 'live', 'big', 'influenc', 'self', 'esteem', 'otherwis', 'go', 'round', 'round', 'tri', 'understand', 'worthless', 'go', 'back', 'crowd', 'knock', 'mani', 'inspir', 'messag', 'find', 'social', 'media', 'mayb', 'read', 'one', 'state', 'person', 'worthless', 'everyon', 'good', 'purpos', 'life', 'also', 'sinc', 'cultur', 'satur', 'belief', 'someon', 'feel', 'good', 'somehow', 'terribl', 'bad', 'feel', 'part', 'live', 'motiv', 'remov', 'situat', 'relationship', 'us', 'harm', 'good', 'bad', 'feel', 'feel', 'terribl', 'feel', 'worthless', 'may', 'good', 'sens', 'motiv', 'find', 'much', 'better', 'feel', 'today']",Suicidal
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts - it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it"" - which is also a thought that carries some self-criticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even self-help books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 1-800-273-8255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC",hello and thank you for your question and seeking advice on this feelings of worthlessness is unfortunately common in fact most people if not all have felt this to some degree at some point in their life you are not alone changing our feelings is like changing our thoughts it s hard to do our minds are so amazing that the minute you change your thought another one can be right there to take it s place without your permission another thought can just pop in there the new thought may feel worse than the last one my guess is that you have tried several things to improve this on your own even before reaching out on here people often try thinking positive thoughts debating with their thoughts or simply telling themselves that they need to snap out of it which is also a thought that carries some self criticism some people try a different approach and there are counselors out there that can help you with this the idea is that instead of trying to change the thoughts you change how you respond to them you learn skills that allow you to manage difficult thoughts and feelings differently so they don t have the same impact on you that they do right now for some people they actually do begin to experience less hurtful thoughts once they learn how to manage the ones they have differently acceptance and commitment therapy may be a good choice for you there is information online and even self help books that you can use to teach you the skills that i mentioned because they are skills they require practice but many people have found great relief and an enriched life by learning them as for suicidal thoughts i am very glad to read that this has not happened to you still you should watch out for this because it can be a sign of a worsening depression if you begin to think about this it is important to reach out to a support system right away the national suicide prevention lifeline is 1 800 273 8255 the text line is 741741 i hope some other colleagues will provide you more suggestions be well robin landwehr dbh lpcc,"['hello', 'thank', 'question', 'seek', 'advic', 'feel', 'worthless', 'unfortun', 'common', 'fact', 'peopl', 'felt', 'degre', 'point', 'life', 'alon', 'chang', 'feel', 'like', 'chang', 'thought', 'hard', 'mind', 'amaz', 'minut', 'chang', 'thought', 'anoth', 'one', 'right', 'take', 'place', 'without', 'permiss', 'anoth', 'thought', 'pop', 'new', 'thought', 'may', 'feel', 'wors', 'last', 'one', 'guess', 'tri', 'sever', 'thing', 'improv', 'even', 'reach', 'peopl', 'often', 'tri', 'think', 'posit', 'thought', 'debat', 'thought', 'simpli', 'tell', 'need', 'snap', 'also', 'thought', 'carri', 'self', 'critic', 'peopl', 'tri', 'differ', 'approach', 'counselor', 'help', 'idea', 'instead', 'tri', 'chang', 'thought', 'chang', 'respond', 'learn', 'skill', 'allow', 'manag', 'difficult', 'thought', 'feel', 'differ', 'impact', 'right', 'peopl', 'actual', 'begin', 'experi', 'less', 'hurt', 'thought', 'learn', 'manag', 'one', 'differ', 'accept', 'commit', 'therapi', 'may', 'good', 'choic', 'inform', 'onlin', 'even', 'self', 'help', 'book', 'use', 'teach', 'skill', 'mention', 'skill', 'requir', 'practic', 'mani', 'peopl', 'found', 'great', 'relief', 'enrich', 'life', 'learn', 'suicid', 'thought', 'glad', 'read', 'happen', 'still', 'watch', 'sign', 'worsen', 'depress', 'begin', 'think', 'import', 'reach', 'support', 'system', 'right', 'away', 'nation', 'suicid', 'prevent', 'lifelin', '1', '800', '273', '8255', 'text', 'line', '741741', 'hope', 'colleagu', 'provid', 'suggest', 'well', 'robin', 'landwehr', 'dbh', 'lpcc']",Suicidal
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",First thing I'd suggest is getting the sleep you need or it will impact how you think and feel. I'd look at finding what is going well in your life and what you can be grateful for. I believe everyone has talents and wants to find their purpose in life. I think you can figure it out with some help.,first thing i d suggest is getting the sleep you need or it will impact how you think and feel i d look at finding what is going well in your life and what you can be grateful for i believe everyone has talents and wants to find their purpose in life i think you can figure it out with some help ,"['first', 'thing', 'suggest', 'get', 'sleep', 'need', 'impact', 'think', 'feel', 'look', 'find', 'go', 'well', 'life', 'grate', 'believ', 'everyon', 'talent', 'want', 'find', 'purpos', 'life', 'think', 'figur', 'help']",Stress
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Therapy is essential for those that are feeling depressed and worthless. When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem. I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem, by guiding my client with CBT practices. CBT helps with gaining a better awareness of how your thought process influences your belief system, and how your beliefs impact your actions and the outcome of your behaviors.  This process isn’t easy but it helps teach an individual that we don’t always have control over what happens in our lives but we can control how we interpret, feel, and behave. CBT is good for individuals dealing with depression, anxiety, toxic relationships, stress, self esteem, codependency, etc.",therapy is essential for those that are feeling depressed and worthless when i work with those that are experiencing concerns related to feeling of depression and issues with self esteem i generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening self esteem by guiding my client with cbt practices cbt helps with gaining a better awareness of how your thought process influences your belief system and how your beliefs impact your actions and the outcome of your behaviors this process isn t easy but it helps teach an individual that we don t always have control over what happens in our lives but we can control how we interpret feel and behave cbt is good for individuals dealing with depression anxiety toxic relationships stress self esteem codependency etc ,"['therapi', 'essenti', 'feel', 'depress', 'worthless', 'work', 'experienc', 'concern', 'relat', 'feel', 'depress', 'issu', 'self', 'esteem', 'gener', 'work', 'client', 'help', 'build', 'cope', 'skill', 'reduc', 'level', 'depress', 'assist', 'strengthen', 'self', 'esteem', 'guid', 'client', 'cbt', 'practic', 'cbt', 'help', 'gain', 'better', 'awar', 'thought', 'process', 'influenc', 'belief', 'system', 'belief', 'impact', 'action', 'outcom', 'behavior', 'process', 'easi', 'help', 'teach', 'individu', 'alway', 'control', 'happen', 'live', 'control', 'interpret', 'feel', 'behav', 'cbt', 'good', 'individu', 'deal', 'depress', 'anxieti', 'toxic', 'relationship', 'stress', 'self', 'esteem', 'codepend', 'etc']",Normal
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change. You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.,i first want to let you know that you are not alone in your feelings and there is always someone there to help you can always change your feelings and change your way of thinking by being open to trying to change you can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself ,"['first', 'want', 'let', 'know', 'alon', 'feel', 'alway', 'someon', 'help', 'alway', 'chang', 'feel', 'chang', 'way', 'think', 'open', 'tri', 'chang', 'alway', 'make', 'avail', 'learn', 'new', 'thing', 'volunt', 'make', 'purpos']",Normal
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Heck, sure thing, hun!Feelings of 'depression' have a deeply-rooted base in physical structures that may not be functioning very well at present; and, we can certainly turn them on again using means that you are able to find around the house and with relative ease :)After that, emotional and spiritual support will be liberally applied.",heck sure thing hun feelings of depression have a deeply rooted base in physical structures that may not be functioning very well at present and we can certainly turn them on again using means that you are able to find around the house and with relative ease after that emotional and spiritual support will be liberally applied :),"['heck', 'sure', 'thing', 'hun', 'feel', 'depress', 'deepli', 'root', 'base', 'physic', 'structur', 'may', 'function', 'well', 'present', 'certainli', 'turn', 'use', 'mean', 'abl', 'find', 'around', 'hous', 'rel', 'eas', 'emot', 'spiritu', 'support', 'liber', 'appli', ':', ')']",Normal
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",You are exhibiting some specific traits of a particular temperament type. Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you -- God loves you as you are!,you are exhibiting some specific traits of a particular temperament type seek out a counselor who provides ncca temperament therapy and discover the joy of being you god loves you as you are ,"['exhibit', 'specif', 'trait', 'particular', 'tempera', 'type', 'seek', 'counselor', 'provid', 'ncca', 'tempera', 'therapi', 'discov', 'joy', 'god', 'love']",Normal
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","That is intense. Depression is a liar. Sometimes depression places these glasses over our eyes, these dark sunglasses that change how we see things. Depression tells us things like ""you're worthless"" ""no one likes you"" ""don't worry about doing anything."" And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true. Please know that even if you are feeling worthless right now, that doesn't mean you are worthless.The first step to working through this is recognizing what is going on. Recognizing when depression is telling you the same story (ie; being worthless) with different words (ie worthless here, worthless there) and making an effort to talk back. While I can not give you a diagnosis of depression, reading what you are going through, it sounds like you might need help to get back on track. Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective. This can do wonders in unwrapping these kinds of thoughts. Wishing you the absolute best!",that is intense depression is a liar sometimes depression places these glasses over our eyes these dark sunglasses that change how we see things depression tells us things like you re worthless no one likes you don t worry about doing anything and it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true please know that even if you are feeling worthless right now that doesn t mean you are worthless the first step to working through this is recognizing what is going on recognizing when depression is telling you the same story ie being worthless with different words ie worthless here worthless there and making an effort to talk back while i can not give you a diagnosis of depression reading what you are going through it sounds like you might need help to get back on track seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective this can do wonders in unwrapping these kinds of thoughts wishing you the absolute best ,"['intens', 'depress', 'liar', 'sometim', 'depress', 'place', 'glass', 'eye', 'dark', 'sunglass', 'chang', 'see', 'thing', 'depress', 'tell', 'us', 'thing', 'like', 'worthless', 'one', 'like', 'worri', 'anyth', 'easi', 'us', 'listen', 'trick', 'think', 'feel', 'someth', 'mean', 'true', 'pleas', 'know', 'even', 'feel', 'worthless', 'right', 'mean', 'worthless', 'first', 'step', 'work', 'recogn', 'go', 'recogn', 'depress', 'tell', 'stori', 'ie', 'worthless', 'differ', 'word', 'ie', 'worthless', 'worthless', 'make', 'effort', 'talk', 'back', 'give', 'diagnosi', 'depress', 'read', 'go', 'sound', 'like', 'might', 'need', 'help', 'get', 'back', 'track', 'see', 'counselor', 'open', 'entir', 'new', 'option', 'wherein', 'someon', 'involv', 'life', 'help', 'without', 'judgement', 'object', 'perspect', 'wonder', 'unwrap', 'kind', 'thought', 'wish', 'absolut', 'best']",Suicidal
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",It sounds like you may be putting yourself last. You wrote that you want to fix your issues but never get around to it. I wonder how you are spending your mental and physical energy. Are you spending time taking care of and doing for others? I also wonder where the thoughts and feelings of being worthless are coming from - are you around people who treat you poorly or are hurtful? Or do you feel it is more of a worry you have but aren't really sure how others feel? It may be helpful to talk to someone about your feelings - a counselor perhaps - to clarify your feelings and move forward from se that are hurting you.,it sounds like you may be putting yourself last you wrote that you want to fix your issues but never get around to it i wonder how you are spending your mental and physical energy are you spending time taking care of and doing for others i also wonder where the thoughts and feelings of being worthless are coming from are you around people who treat you poorly or are hurtful or do you feel it is more of a worry you have but aren t really sure how others feel it may be helpful to talk to someone about your feelings a counselor perhaps to clarify your feelings and move forward from se that are hurting you ,"['sound', 'like', 'may', 'put', 'last', 'wrote', 'want', 'fix', 'issu', 'never', 'get', 'around', 'wonder', 'spend', 'mental', 'physic', 'energi', 'spend', 'time', 'take', 'care', 'other', 'also', 'wonder', 'thought', 'feel', 'worthless', 'come', 'around', 'peopl', 'treat', 'poorli', 'hurt', 'feel', 'worri', 'realli', 'sure', 'other', 'feel', 'may', 'help', 'talk', 'someon', 'feel', 'counselor', 'perhap', 'clarifi', 'feel', 'move', 'forward', 'se', 'hurt']",Suicidal
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","It must be really difficult to experience what your going through right now.  It takes a lot of courage to reach out. It sounds like you want to get better, but perhaps need some help to get over the hump.  Many of the symptoms you have described are consistent with a person who is dealing with depression.   Depression is a treatable condition.  Typically, if these symptoms have persisted for more than two weeks, then it is a good idea to seek professional help.   Someone who is trained in dealing with depression.  Initially, a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern.  Then, in collaboration with one another, a tailored treatment plan would be developed, focusing on how to best help you reach your goals.  The good news is that their is hope for getting better! You don;t have to do it alone.  Allow me to be your ally in healing.",it must be really difficult to experience what your going through right now it takes a lot of courage to reach out it sounds like you want to get better but perhaps need some help to get over the hump many of the symptoms you have described are consistent with a person who is dealing with depression depression is a treatable condition typically if these symptoms have persisted for more than two weeks then it is a good idea to seek professional help someone who is trained in dealing with depression initially a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern then in collaboration with one another a tailored treatment plan would be developed focusing on how to best help you reach your goals the good news is that their is hope for getting better you don t have to do it alone allow me to be your ally in healing ,"['must', 'realli', 'difficult', 'experi', 'go', 'right', 'take', 'lot', 'courag', 'reach', 'sound', 'like', 'want', 'get', 'better', 'perhap', 'need', 'help', 'get', 'hump', 'mani', 'symptom', 'describ', 'consist', 'person', 'deal', 'depress', 'depress', 'treatabl', 'condit', 'typic', 'symptom', 'persist', 'two', 'week', 'good', 'idea', 'seek', 'profession', 'help', 'someon', 'train', 'deal', 'depress', 'initi', 'comprehens', 'assess', 'would', 'complet', 'rule', 'caus', 'symptom', 'determin', 'exact', 'natur', 'present', 'concern', 'collabor', 'one', 'anoth', 'tailor', 'treatment', 'plan', 'would', 'develop', 'focus', 'best', 'help', 'reach', 'goal', 'good', 'news', 'hope', 'get', 'better', 'alon', 'allow', 'alli', 'heal']",Normal
