Context,Response,Clean_Context,Clean_Response
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.",im going things feelings barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,everyone thinks youre worthless maybe need find new people hang withseriously social context person lives big influence selfesteemotherwise go round round trying understand youre worthless go back crowd knocked againthere many inspirational messages find social media maybe read ones state person worthless everyone good purpose lifealso since culture saturated belief someone doesnt feel good somehow terriblebad feelings part living motivation remove situations relationships us harm goodbad feelings feel terrible feeling worthlessness may good sense motivating find much better feelings today
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Let me start by saying there are never too many concerns that you can bring into counselling. In fact, most people who come to see me for counselling have more than one issue they would like to work on in psychotherapy and most times these are all interconnected. In counselling, we work together, collaboratively, to figure out which issues you would like to address first and then together we develop an individualized plan of care. Basically, it’s like a road map of where you want to go, how are you going to get there, looking at stopovers, some scenic routes others possibly not so scenic, however, necessary. Of course, these plans can also change due to internal (what we have control over like our thoughts, feelings and behaviours) or external reasons (those things that are outside our control). I would encourage you to take the next step and reach out to a professional you can trust and build rapport with by co-journeying through whatever concerns you have by examining what has been working so far as you have learned to cope with some of your issues like insomnia, depression and anxiety, as well as being a breast cancer survivor. Then to help you by developing new coping strategies. Psychotherapy can be such a powerful tool to help you get to where it is you want to be. I know you can do it and you will see first-hand how psychotherapy will help you to move past these points in your life where you are feeling stuck. I like to quote Nike where their motto is, “just do it.” You can do it.",many issues address history sexual abuse i’m breast cancer survivor lifetime insomniac long history depression i’m beginning anxiety low self esteem i’ve happily married almost 35 years i’ve never counseling many issues address counseling,let start saying never many concerns bring counselling fact people come see counselling one issue would like work psychotherapy times interconnected counselling work together collaboratively figure issues would like address first together develop individualized plan care basically it’s like road map want go going get looking stopovers scenic routes others possibly scenic however necessary course plans also change due internal control like thoughts feelings behaviours external reasons things outside control would encourage take next step reach professional trust build rapport cojourneying whatever concerns examining working far learned cope issues like insomnia depression anxiety well breast cancer survivor help developing new coping strategies psychotherapy powerful tool help get want know see firsthand psychotherapy help move past points life feeling stuck like quote nike motto “just it”
"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.","Answers about our inner lives are most successfully reached from a sense of feeling grounded in oneself.First step is to accept your nervousness and restless sleep.  As often as possible, sleep during daytimes in order for your body to catch up on its need for rest.Accept too about feeling down.  It is normal to feel down once in a while.  From this place of self-acceptance, trust any answers which come up to your mind.  Often answers about complicated topics come in small pieces, not all at once as a whole unit.Also, your description about panic attacks is also completely normal.   They often arise unrelated to particular conditions at a given moment.  They are a healthy symptom your body is trying to expel bad feelings and does this by having the anxiety erupt at times.So, self-acceptance, tolerance of being on a process of clearing out worn out emotional clutter, and sleep at odd times if possible, are all ways to stabilize yourself, which will also feel calm and good!",feeling month started trouble sleeping due panic attacks almost never triggered something know,answers inner lives successfully reached sense feeling grounded oneselffirst step accept nervousness restless sleep often possible sleep daytimes order body catch need restaccept feeling normal feel place selfacceptance trust answers come mind often answers complicated topics come small pieces whole unitalso description panic attacks also completely normal often arise unrelated particular conditions given moment healthy symptom body trying expel bad feelings anxiety erupt timesso selfacceptance tolerance process clearing worn emotional clutter sleep odd times possible ways stabilize also feel calm good
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,Have you used meditation or hypnosis? Relaxing the mind and connecting with your true self is a great way to calm your thoughts and get to peace and calm. Hypnosis and meditation have helped a lot of people with anxiety and depression. Google hypnotherapists near me or write for a while about what is going on.,i’m facing severe depression anxiety feel like i’m going lot really distracts cant get mind things bothering overcome anxierty depression,used meditation hypnosis relaxing mind connecting true self great way calm thoughts get peace calm hypnosis meditation helped lot people anxiety depression google hypnotherapists near write going
How can I get to a place where I can be content from day to day?,"Your question is a fascinating one!As humans we have the ability to reflect on situations in our lives.Even if nothing currently goes on in a particular moment, it’s possible you’re reflecting on a serious or upsetting matter.And, our emotions linger within us.Just because a particular moment feels calm, inside your feelings may be the sense of a strong unsettled emotion from the recent past.Good for you to be aware of your own sensitivity to living with awareness of your moods and thoughts.",get place content day day,question fascinating oneas humans ability reflect situations liveseven nothing currently goes particular moment it’s possible you’re reflecting serious upsetting matterand emotions linger within usjust particular moment feels calm inside feelings may sense strong unsettled emotion recent pastgood aware sensitivity living awareness moods thoughts
"I have a severe back problem. I've had 3 major and several minor operations, but I'm still in constant pain. How can I deal with the depression from this chronic pain?","Chronic pain at the back likely results from a few areas:L4-L5 kidney zone, most likely (lower back);Bone spurs, fused discs, and slipped discs, caused by connective tissue weakness, and calcium deposits used to neutralize highly acidic areas...The 'depression' will evaporate when the chronic pain is drained out, through natural means;Pharmaceutical means will simply extend the pain and cause it to deepen over time, not solving the problem;Remember, medical doctors suppress, natural doctors cure...",severe back problem ive 3 major several minor operations im still constant pain deal depression chronic pain,chronic pain back likely results areasl4l5 kidney zone likely lower backbone spurs fused discs slipped discs caused connective tissue weakness calcium deposits used neutralize highly acidic areasthe depression evaporate chronic pain drained natural meanspharmaceutical means simply extend pain cause deepen time solving problemremember medical doctors suppress natural doctors cure
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","If it is simply counseling that you seek, any number of faith-based outfits are very willing to listen and help out with these sorts of matters, free of charge :)Online messaging and social media is a secondary option, however this one may come with privacy concerns and consequences;If it were I, I would attempt to sweet-talk one or two counselors I come across to do a bit of work for folks who can't afford it :)",suffer adult adhd anxiety disorder depression difficult find doctor area primary physician wont help unemployed overwhelmed would suggest,simply counseling seek number faithbased outfits willing listen help sorts matters free charge online messaging social media secondary option however one may come privacy concerns consequencesif would attempt sweettalk one two counselors come across bit work folks cant afford
"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.    I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.    What could be causing this, and what can I do about it?","First step always is to do a medical rule out so that you're sure the problem is psychological and emotion based, not a medical condition which requires care and attention.If you are medically clear in the reasons for losing your erection, then reflect on what may be creating a loss in confidence in either who you are and what you're doing with your life, or whether your wife has these sort of problems within herself.Often a problem transfers ownership of who shows it.If you are a sensitive person its possible your erection problem reflects your wife's insecurities and self-doubt.  If she is someone who is reluctant to talk about feeling unsure then in a certain way by you showing a problem, she can avoid looking at herself.There may not be a direct cause such as usually exists in a medical problem.Medicine looks for symptoms to treat.Our emotional lives are much more indirect.If you feel stress at work or are unhappy in the place you live, for example, then your frustration may show up in your sex life.Basically, do a broad inward search of your life and what it holds and maybe ask your wife to do the same.You may clear the air within yourselves and between each other so the problem goes away.",years ago making love wife known reason lost erection im early 30s problem become frequent causing major problems ego diminishing self esteem resulted ongoing depression tearing apart marriage devastated cannot find cause issues attracted wife want express bedroom like used could causing,first step always medical rule youre sure problem psychological emotion based medical condition requires care attentionif medically clear reasons losing erection reflect may creating loss confidence either youre life whether wife sort problems within herselfoften problem transfers ownership shows itif sensitive person possible erection problem reflects wifes insecurities selfdoubt someone reluctant talk feeling unsure certain way showing problem avoid looking herselfthere may direct cause usually exists medical problemmedicine looks symptoms treatour emotional lives much indirectif feel stress work unhappy place live example frustration may show sex lifebasically broad inward search life holds maybe ask wife sameyou may clear air within problem goes away
"I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. How can I live a more balanced life?","It's fun to ride the roller coaster from time to time, isn't it? :)But, it's also weary-making, and leads to drainage that no man or woman can hardly anticipate!Balance comes with proper understanding of the different bodies you possess and how they function.And, to begin, we focus upon your physical, and move right up the latter to the spiritual, and begin cleaning you out.Unbalance is an experience of blocked energies that should be naturally flowing (call them what thou mayest); when blockages are removed, what is naturally there flows, and flows beautifully...",struggle depression well pretty intense mood swings throughout month experience highs feel amazing energetic lows lack focus energy generally dark outlook life live balanced life,fun ride roller coaster time time isnt also wearymaking leads drainage man woman hardly anticipatebalance comes proper understanding different bodies possess functionand begin focus upon physical move right latter spiritual begin cleaning outunbalance experience blocked energies naturally flowing call thou mayest blockages removed naturally flows flows beautifully
"I self-harm, and I stop for awhile. Then when I see something sad or depressing, I automatically want to self-harm.","In a way, self-harm can present somewhat like an addiction.  According to new research within the field of neuroscience there is a valid explanation for this.  When a person cuts or uses other forms of self harm, the body produces endorphins to help make a person feel better.  If a person was dealing with depression or high anxiety, that might be misinterpreted by the brain as a way to help oneself feel better and a new neural network or map might form (addiction) that would utilize this new behavior.  Another way to look at it would be thru a behavioral lens, a positive reward for a behavior, even though the behavior has other long term negative consequences.  Consider working with someone who can both have you work on and address those items that trigger your behavior and the root causes, in this case sadness or depression, and second find someone who can help give you alternatives that take into account the neurological requirement by replacing the behavior with another behavior (such as snapping a rubber band on the wrist) and working to extinguish the unwanted behavior.   Someone who is trained in Dialectic Behavior Therapy and/or Interpersonal Neurobiology would most likely have the skills and means available to address this with you.",selfharm stop awhile see something sad depressing automatically want selfharm,way selfharm present somewhat like addiction according new research within field neuroscience valid explanation person cuts uses forms self harm body produces endorphins help make person feel better person dealing depression high anxiety might misinterpreted brain way help oneself feel better new neural network map might form addiction would utilize new behavior another way look would thru behavioral lens positive reward behavior even though behavior long term negative consequences consider working someone work address items trigger behavior root causes case sadness depression second find someone help give alternatives take account neurological requirement replacing behavior another behavior snapping rubber band wrist working extinguish unwanted behavior someone trained dialectic behavior therapy andor interpersonal neurobiology would likely skills means available address
